Dataset,Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,Test F1
bert,Random Forest,0.9912472647702407,0.9978118161925602,0.9913653455153302,0.9978191838148075,0.9912472647702407,0.9978118161925602,0.9912231224471308,0.9978102528182093
bert,XGBoost,0.9934354485776805,0.9978118161925602,0.9935020937697853,0.9978191838148075,0.9934354485776805,0.9978118161925602,0.9934219898911224,0.9978102528182093
bert,CatBoost,0.9928884026258206,0.9978118161925602,0.9929665520475148,0.9978191838148075,0.9928884026258206,0.9978118161925602,0.9928725718035303,0.9978102528182093
bert,SVM,0.9885120350109409,0.9956236323851203,0.9887145935875742,0.995653003979851,0.9885120350109409,0.9956236323851203,0.9884699794091747,0.9956173238585713
bert,AdaBoost,0.9907002188183808,0.9956236323851203,0.9908334086078394,0.995653003979851,0.9907002188183808,0.9956236323851203,0.9906729033538999,0.9956173238585713
bert,Decision Tree,0.9907002188183808,0.9934354485776805,0.9907436506187302,0.9934550456203586,0.9907002188183808,0.9934354485776805,0.9906827805256716,0.9934400566559788
bert,MLP,0.9901531728665208,0.9934354485776805,0.990302367217028,0.9935013136421185,0.9901531728665208,0.9934354485776805,0.9901224807954498,0.9934211300703237
bert,Naive Bayes,0.9824945295404814,0.9912472647702407,0.9829605653597032,0.9913639679066375,0.9824945295404814,0.9912472647702407,0.9823944735820255,0.9912215877157277
protbert,Random Forest,0.9682692307692308,0.9693486590038314,0.9684638191593572,0.9701319494554139,0.9682692307692308,0.9693486590038314,0.9683205665940242,0.9694957948573076
protbert,Decision Tree,0.9576923076923077,0.9693486590038314,0.957739783653846,0.9693486590038314,0.9576923076923077,0.9693486590038314,0.9577123235305351,0.9693486590038314
protbert,MLP,0.9471153846153846,0.9616858237547893,0.9523580111917764,0.9642831034912771,0.9471153846153846,0.9616858237547893,0.9475995975373116,0.962030821410263
protbert,XGBoost,0.9769230769230769,0.9578544061302682,0.9775679908059405,0.9584350496854176,0.9769230769230769,0.9578544061302682,0.9770048400419334,0.9580085354975358
protbert,CatBoost,0.9625,0.9540229885057471,0.9644928768180447,0.9557354212006394,0.9625,0.9540229885057471,0.96272582397682,0.9543436970519709
protbert,AdaBoost,0.9211538461538461,0.9272030651340997,0.9269372308434809,0.9309597582161301,0.9211538461538461,0.9272030651340997,0.9218864458338234,0.9279284897393023
protbert,SVM,0.9182692307692307,0.9157088122605364,0.9246816529778558,0.9218422823326774,0.9182692307692307,0.9157088122605364,0.9190608732299679,0.9167738442403975
protbert,Naive Bayes,0.8615384615384616,0.89272030651341,0.8853160306212471,0.9050040608216735,0.8615384615384616,0.89272030651341,0.8634620299938818,0.8945493919706813
roberta,Random Forest,0.9923413566739606,0.9978118161925602,0.992431914956532,0.9978191838148075,0.9923413566739606,0.9978118161925602,0.9923229553877058,0.9978102528182093
roberta,XGBoost,0.9928884026258206,0.9978118161925602,0.9929665520475148,0.9978191838148075,0.9928884026258206,0.9978118161925602,0.9928725718035303,0.9978102528182093
roberta,CatBoost,0.9928884026258206,0.9978118161925602,0.9929665520475148,0.9978191838148075,0.9928884026258206,0.9978118161925602,0.9928725718035303,0.9978102528182093
roberta,SVM,0.9857768052516411,0.9956236323851203,0.986086005137475,0.995653003979851,0.9857768052516411,0.9956236323851203,0.9857116201526155,0.9956173238585713
roberta,AdaBoost,0.9890590809628009,0.9956236323851203,0.9892429619550226,0.995653003979851,0.9890590809628009,0.9956236323851203,0.9890210201176464,0.9956173238585713
roberta,MLP,0.9885120350109409,0.9956236323851203,0.9887145935875742,0.995653003979851,0.9885120350109409,0.9956236323851203,0.9884699794091747,0.9956173238585713
roberta,Decision Tree,0.9879649890590809,0.986870897155361,0.9879735851892791,0.9869485214713881,0.9879649890590809,0.986870897155361,0.9879486873182819,0.9868891663610353
roberta,Naive Bayes,0.9770240700218819,0.986870897155361,0.9778202656151829,0.9871317402582347,0.9770240700218819,0.986870897155361,0.9768479044779966,0.9868121188383625
